age,frailty
96.5506009615385,0.98267359375
96.6506009615385,0.98410359375
96.7506009615385,0.98553359375
96.8506009615385,0.98696359375
96.9506009615385,0.98839359375
97.0506009615385,0.98982359375
97.1506009615385,0.99125359375
97.2506009615385,0.99268359375
97.3506009615385,0.99411359375
97.4506009615385,0.99554359375
97.5506009615385,0.99697359375
97.6506009615385,0.99840359375
97.7506009615385,0.99983359375
97.8506009615385,1.00126359375
97.9506009615385,1.00269359375
98.0506009615385,1.00412359375
98.1506009615385,1.00555359375
98.2506009615385,1.00698359375
98.3506009615385,1.00841359375
98.4506009615385,1.00984359375
98.5506009615385,1.01127359375
98.6506009615385,1.01270359375
98.7506009615385,1.01413359375
98.8506009615385,1.01556359375
98.9506009615385,1.01699359375
99.0506009615385,1.01842359375
99.1506009615385,1.01985359375
99.2506009615385,1.02128359375
99.3506009615385,1.02271359375
99.4506009615385,1.02414359375
99.5506009615385,1.02557359375
99.6506009615385,1.02700359375
99.7506009615385,1.02843359375
99.8506009615385,1.02986359375
99.9506009615385,1.03129359375
